Ticker,Filing_Date,Purchase_Value
HYMC  ,2025-09-12,39995333.0
HYMC  ,2025-10-16,49985000.0
IBTA  ,2024-04-22,49999928.0
IHRT  ,2022-05-05,5035835676.0
IHRT  ,2022-05-09,19464931320.0
IHT   ,2022-06-03,21692768400.0
IHT   ,2022-12-29,36075000.0
IHT   ,2023-01-04,2147483647.0
IHT   ,2023-09-21,45666800.0
IMCR  ,2025-03-19,23993224.0
IMVT  ,2023-10-04,58000008.0
IMVT  ,2025-01-15,336900200.0
INBX  ,2022-10-12,39999857.0
IOVA  ,2022-12-02,65000000.0
IOVA  ,2023-09-15,26500000.0
IOVA  ,2024-02-20,45750000.0
IRON  ,2023-02-17,10000009.0
ITOS  ,2025-05-16,38685562.0
IVZ   ,2022-06-15,5450657436.0
JANX  ,2024-10-22,53700000.0
JANX  ,2025-03-07,25342965.0
JEF   ,2024-09-19,551773323.0
JELD  ,2024-11-07,10368700.0
JOBY  ,2025-05-27,250000004.0
KDP   ,2025-01-31,120677464.0
KIND  ,2022-06-07,3964123308.0
KIND  ,2022-06-09,2655951888.0
KMI   ,2025-10-28,25964900.0
KRTX  ,2022-07-01,3006176232.0
KYMR  ,2022-08-23,14183650.0
KYMR  ,2025-06-30,28842000.0
KYMR  ,2025-07-01,13955348.0
KYTX  ,2024-02-13,20020000.0
L     ,2023-06-02,18781400.0
LAZY  ,2022-11-14,24245192.0
LAZY  ,2023-03-02,15895555.0
LAZY  ,2024-11-19,14999999.0
LBRX  ,2025-09-16,69999990.0
LCID  ,2022-12-27,914999991.0
LCID  ,2023-06-26,1814687991.0
LCID  ,2024-11-04,1026524108.0
LENZ  ,2024-03-25,15000075.0
LGF   ,2024-08-13,17185963.0
LGF   ,2025-04-09,17831883.0
LION  ,2025-05-30,48849225.0
LRMR  ,2022-09-20,34999990.0
LRMR  ,2024-02-16,37499993.0
LRMR  ,2025-08-04,30000000.0
LSXMA ,2024-01-04,32461815.0
LSXMA ,2024-01-17,36606505.0
LSXMA ,2024-01-18,32461815.0
LSXMA ,2024-01-25,13602274.0
LSXMA ,2024-02-01,24288447.0
LSXMA ,2024-03-06,43582062.0
LSXMA ,2024-03-12,111400245.0
LSXMA ,2024-03-25,36914291.0
LSXMA ,2024-03-28,73403470.0
LSXMA ,2024-04-08,30686367.0
LSXMA ,2024-04-12,20835787.0
LSXMA ,2024-04-26,12318533.0
LSXMK ,2024-01-04,49675721.0
LSXMK ,2024-01-17,48364344.0
LSXMK ,2024-01-18,49675721.0
LSXMK ,2024-01-25,31057580.0
LSXMK ,2024-02-01,31150290.0
LSXMK ,2024-03-06,63890925.0
LSXMK ,2024-03-12,176677445.0
LSXMK ,2024-03-25,36767141.0
LSXMK ,2024-03-28,221178883.0
LSXMK ,2024-04-08,66419518.0
LSXMK ,2024-04-12,29324738.0
LSXMK ,2024-04-26,15870000.0
LUV   ,2024-10-02,91015975.0
LXRX  ,2022-08-01,8248638000.0
LXRX  ,2023-06-05,72215130.0
MAX   ,2023-06-30,59168160.0
MBLY  ,2022-10-31,10000011.0
MBLY  ,2024-08-05,10434093.0
MBX   ,2024-09-17,56000000.0
MBX   ,2025-09-30,11999988.0
MCRB  ,2022-07-07,5615194860.0
MDGL  ,2023-11-15,15801021.0
MDGL  ,2023-11-21,24075620.0
MDGL  ,2023-12-14,22516577.0
MDGL  ,2025-08-20,61921024.0
MDIA  ,2022-07-29,6094276824.0
MDRX  ,2024-03-04,66001500.0
MDRX  ,2024-03-15,66001500.0
MEDP  ,2022-09-06,26286758.0
MEDP  ,2022-09-08,33743038.0
MEDP  ,2022-09-12,36420446.0
MEDP  ,2022-09-14,40597556.0
MEDP  ,2022-09-16,38231034.0
MEDP  ,2022-09-20,47593054.0
MEDP  ,2022-09-22,59628152.0
MGTX  ,2023-05-15,25000000.0
